ALG, INST, t[s], alpha, custo, custo_total, percent_total, melhor_custo, relacao_melhor, iteracao_melhor, grafo_nos, solucao_nos, grafo_arestas, solucao_arestas,,,,,,,,
A3, i04M1.dat,118.956,0.45,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,123.398,0.45,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,120.013,0.1,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,122.681,0.5,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,119.911,0.25,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,120.722,0.05,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,120.4,0.2,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,120.67,0.45,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,119.998,0.3,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,120.862,0.25,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,119.74,0.4,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,121.717,0.25,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,121.566,0.35,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,120.953,0.4,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,120.171,0.1,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,120.902,0.3,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,120.917,0.15,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,121.756,0.05,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,120.343,0.2,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A3, i04M1.dat,123.031,0.3,53900.2,53900.2,100%,25282.6,113.19%,1,1801,1,16721,0,,,,,,,,
A1, i05M3.dat,0.0580046,0,1.61E+06,1.45E+06,111.36%,672403,139.67%,0,1810,10,16796,9,,,,,,,,
A2, i05M3.dat,59.6165,0.1,1.38E+06,1.45E+06,95.60%,672403,105.74%,192,1810,6,16796,5,,59.9622,1383410,672403,1.05741,,,
A2, i05M3.dat,62.8263,0.1,1.37E+06,1.45E+06,94.85%,672403,104.14%,380,1810,6,16796,5,,54.52305,1297910,672403,0.9302595,,,
A2, i05M3.dat,58.3118,0.1,1.37E+06,1.45E+06,94.85%,672403,104.14%,895,1810,6,16796,5,,55.88025,1293455,672403,0.923631,,,
A2, i05M3.dat,59.3529,0.1,1.35E+06,1.45E+06,93.08%,672403,100.31%,841,1810,5,16796,4,,,123.0875,1274800,672403,0.89589,0.4,1208050
A2, i05M3.dat,62.4048,0.1,1.39E+06,1.45E+06,95.74%,672403,106.06%,220,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,57.5324,0.1,1.39E+06,1.45E+06,95.74%,672403,106.06%,520,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,63.4076,0.1,1.37E+06,1.45E+06,94.85%,672403,104.14%,887,1810,6,16796,5,,,,,,,,
A2, i05M3.dat,61.142,0.1,1.37E+06,1.45E+06,94.85%,672403,104.14%,101,1810,6,16796,5,,,,,,,,
A2, i05M3.dat,59.9622,0.1,1.38E+06,1.45E+06,95.60%,672403,105.74%,976,1810,6,16796,5,,,,,,,,
A2, i05M3.dat,61.9327,0.1,1.38E+06,1.45E+06,95.55%,672403,105.65%,690,1810,6,16796,5,,,,,,,,
A2, i05M3.dat,67.1065,0.1,1.39E+06,1.45E+06,95.74%,672403,106.06%,329,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,69.0336,0.1,1.41E+06,1.45E+06,97.23%,672403,109.25%,264,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,59.8287,0.1,1.37E+06,1.45E+06,94.85%,672403,104.14%,918,1810,6,16796,5,,,,,,,,
A2, i05M3.dat,60.23,0.1,1.38E+06,1.45E+06,95.43%,672403,105.38%,605,1810,2,16796,1,,,,,,,,
A2, i05M3.dat,57.1296,0.1,1.38E+06,1.45E+06,95.63%,672403,105.81%,710,1810,6,16796,5,,,,,,,,
A2, i05M3.dat,56.1363,0.1,1.39E+06,1.45E+06,95.74%,672403,106.06%,437,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,58.0847,0.1,1.38E+06,1.45E+06,95.60%,672403,105.74%,924,1810,6,16796,5,,,,,,,,
A2, i05M3.dat,60.6747,0.1,1.38E+06,1.45E+06,95.60%,672403,105.74%,25,1810,6,16796,5,,,,,,,,
A2, i05M3.dat,55.534,0.1,1.36E+06,1.45E+06,93.66%,672403,101.57%,581,1810,5,16796,4,,,,,,,,
A2, i05M3.dat,55.693,0.1,1.38E+06,1.45E+06,95.60%,672403,105.74%,867,1810,6,16796,5,,,,,,,,
A2, i05M3.dat,56.7056,0.2,1.30E+06,1.45E+06,89.58%,672403,92.78%,199,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,54.1154,0.2,1.30E+06,1.45E+06,89.61%,672403,92.85%,995,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,53.7947,0.2,1.35E+06,1.45E+06,93.08%,672403,100.31%,971,1810,5,16796,4,,,,,,,,
A2, i05M3.dat,53.4316,0.2,1.29E+06,1.45E+06,88.83%,672403,91.18%,43,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,56.2355,0.2,1.33E+06,1.45E+06,91.86%,672403,97.69%,334,1810,5,16796,4,,,,,,,,
A2, i05M3.dat,56.7875,0.2,1.40E+06,1.45E+06,97.00%,672403,108.75%,173,1810,6,16796,5,,,,,,,,
A2, i05M3.dat,56.2675,0.2,1.30E+06,1.45E+06,89.58%,672403,92.78%,30,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,55.3273,0.2,1.30E+06,1.45E+06,89.77%,672403,93.20%,104,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,56.3194,0.2,1.36E+06,1.45E+06,94.10%,672403,102.52%,67,1810,5,16796,4,,,,,,,,
A2, i05M3.dat,54.3856,0.2,1.29E+06,1.45E+06,89.07%,672403,91.70%,734,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,54.6626,0.2,1.30E+06,1.45E+06,89.50%,672403,92.62%,126,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,53.814,0.2,1.29E+06,1.45E+06,88.83%,672403,91.18%,669,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,54.6605,0.2,1.29E+06,1.45E+06,89.07%,672403,91.70%,674,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,58.1836,0.2,1.34E+06,1.45E+06,92.60%,672403,99.29%,694,1810,5,16796,4,,,,,,,,
A2, i05M3.dat,54.3523,0.2,1.29E+06,1.45E+06,89.06%,672403,91.66%,272,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,55.1525,0.2,1.39E+06,1.45E+06,96.10%,672403,106.83%,252,1810,2,16796,1,,,,,,,,
A2, i05M3.dat,54.2897,0.2,1.32E+06,1.45E+06,91.03%,672403,95.91%,14,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,53.0869,0.2,1.29E+06,1.45E+06,89.34%,672403,92.26%,480,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,52.3451,0.2,1.34E+06,1.45E+06,92.88%,672403,99.90%,903,1810,5,16796,4,,,,,,,,
A2, i05M3.dat,52.8726,0.2,1.36E+06,1.45E+06,93.90%,672403,102.08%,267,1810,5,16796,4,,,,,,,,
A2, i05M3.dat,53.6663,0.3,1.25E+06,1.45E+06,86.58%,672403,86.33%,530,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,54.5724,0.3,1.31E+06,1.45E+06,90.36%,672403,94.47%,181,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,54.0089,0.3,1.25E+06,1.45E+06,86.50%,672403,86.17%,584,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,54.634,0.3,1.30E+06,1.45E+06,89.58%,672403,92.78%,554,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,55.0208,0.3,1.28E+06,1.45E+06,88.79%,672403,91.08%,149,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,53.6564,0.3,1.25E+06,1.45E+06,86.26%,672403,85.65%,311,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,57.2741,0.3,1.29E+06,1.45E+06,89.10%,672403,91.76%,136,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,56.1069,0.3,1.31E+06,1.45E+06,90.60%,672403,94.99%,417,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,55.0555,0.3,1.36E+06,1.45E+06,93.89%,672403,102.07%,749,1810,2,16796,1,,,,,,,,
A2, i05M3.dat,54.2045,0.3,1.31E+06,1.45E+06,90.32%,672403,94.39%,256,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,55.9038,0.3,1.30E+06,1.45E+06,89.53%,672403,92.69%,693,1810,4,16796,3,,,,,,,,
A2, i05M3.dat,58.9182,0.3,1.36E+06,1.45E+06,93.89%,672403,102.07%,36,1810,2,16796,1,,,,,,,,
A2, i05M3.dat,56.5633,0.3,1.24E+06,1.45E+06,86.00%,672403,85.09%,879,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,56.7468,0.3,1.24E+06,1.45E+06,85.83%,672403,84.73%,72,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,56.7751,0.3,1.24E+06,1.45E+06,85.76%,672403,84.57%,761,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,59.5176,0.3,1.24E+06,1.45E+06,85.76%,672403,84.57%,114,1810,3,16796,2,,,,,,,,
A2, i05M3.dat,57.7883,0.3,1.30E+06,1.45E+06,89.50%,672403,92.62%,278,1810,4,16796,3,,,,,,,,
